nurse_comm_stars,avg_ratio,hospital_count,condition
1,1.0368875,80,Heart Failure
2,1.0140628813559323,590,Heart Failure
3,1.0012411499436302,887,Heart Failure
4,0.9900828609986504,741,Heart Failure
5,0.9926797297297297,222,Heart Failure
1,1.0162921875,64,COPD
2,1.0094313543599258,539,COPD
3,0.999667942583732,836,COPD
4,0.9968878603945373,659,COPD
5,0.991822754491018,167,COPD
1,1.04817125,80,Pneumonia
2,1.0157769881556684,591,Pneumonia
3,1.0004157480314961,889,Pneumonia
4,0.9913464190981433,754,Pneumonia
5,0.9889622222222223,225,Pneumonia
1,1.0224244444444446,45,Heart Attack (AMI)
2,1.0125025586353944,469,Heart Attack (AMI)
3,1.0006585545722715,678,Heart Attack (AMI)
4,0.9934722943722943,462,Heart Attack (AMI)
5,0.983358904109589,73,Heart Attack (AMI)
1,1.0668333333333333,27,Hip/Knee Replacement
2,1.0152563253012048,332,Hip/Knee Replacement
3,1.0076786274509804,510,Hip/Knee Replacement
4,1.0033749408983452,423,Hip/Knee Replacement
5,0.9491603174603175,126,Hip/Knee Replacement
1,1.05514,15,Bypass Surgery (CABG)
2,1.0104239316239316,234,Bypass Surgery (CABG)
3,0.997930870712401,379,Bypass Surgery (CABG)
4,0.9993453703703703,216,Bypass Surgery (CABG)
5,0.9773558823529411,34,Bypass Surgery (CABG)
