facility_id,nurse_comm_stars,hf_excess_ratio
010001,3,1.0233
010005,3,1.0087
010006,2,0.9925
010011,2,1.0373
010012,4,1.084
010016,2,1.0053
010019,4,0.9057
010023,3,1.0589
010024,3,1.0207
010029,4,1.0273
010033,3,0.9861
010035,4,0.9659
010036,3,1.0426
010039,3,0.997
010040,3,0.9563
010045,5,1.0009
010046,3,1.106
010049,4,0.9516
010055,3,0.966
010056,2,0.9837
010061,5,0.9478
010065,3,0.9711
010078,2,0.9929
010079,4,0.9706
010083,4,1.0208
010085,3,0.9357
010087,3,1.0179
010089,2,1.02
010090,2,0.9943
010092,3,1.0331
010099,2,1.0201
010100,4,1.0637
010101,5,0.9837
010103,3,0.8933
010104,3,1.0113
010108,4,1.0447
010112,3,1.0366
010113,2,1.0838
010114,2,0.992
010118,1,0.9285
010125,5,1.0081
010126,5,1.0398
010129,5,0.9843
010130,5,1.0602
010131,3,1.0878
010139,2,1.0023
010144,2,1.0267
010148,4,0.9834
010149,4,1.1038
010164,2,1.0182
020001,4,0.9086
020006,4,0.9312
020008,5,1.0125
020012,3,0.8938
020017,3,1.0988
020018,3,0.9884
020024,4,1.2271
020026,3,1.0516
030002,3,1.0702
030006,2,1.1397
030007,4,0.8909
030010,2,0.9997
030011,1,0.9977
030012,3,1.0576
030013,2,1.1265
030014,3,1.0705
030016,3,1.0672
030022,2,1.0638
030023,3,0.9976
030024,3,0.9678
030030,1,0.9673
030036,4,0.9304
030038,3,1.06
030043,3,1.0009
030055,3,1.007
030061,2,1.0647
030062,3,0.9655
030064,2,0.9175
030065,2,0.976
030069,2,1.0174
030071,3,1.0421
030083,2,1.0001
030085,2,0.9584
030087,3,1.0378
030088,2,0.9907
030089,2,0.9232
030092,4,1.0534
030093,2,0.9646
030094,2,1.0098
030101,2,0.9718
030103,5,0.919
030105,4,0.9019
030110,2,0.9599
030111,2,0.9937
030114,2,0.9694
030115,3,1.0283
030117,3,0.9768
030119,4,1.0685
030121,2,0.9483
030122,3,0.9986
030123,4,0.988
030130,3,0.9555
030134,5,1.0135
030139,4,0.9899
030146,4,1.1137
030147,3,1.0448
030148,3,1.002
040001,5,1.0042
040002,3,0.9676
040004,3,0.8542
040007,2,1.0205
040010,4,0.9693
040011,3,0.9546
040014,3,1.0044
040016,3,0.9746
040017,2,0.9559
040020,4,1.0926
040022,3,0.9855
040026,3,1.0713
040027,4,1.0098
040029,4,1.0037
040036,2,1.0886
040039,3,0.9903
040041,4,0.9433
040051,3,1.1109
040055,3,1.1182
040062,3,1.0181
040071,2,0.9825
040078,2,0.9142
040084,2,0.9724
040088,4,0.9653
040114,2,1.0247
040118,3,1.1125
040119,3,0.9426
040134,5,1.0787
040137,4,0.927
040154,4,1.0337
040161,5,1.0909
050002,2,1.0765
050006,2,0.8675
050007,4,0.991
050008,3,1.0191
050009,4,0.9464
050013,4,0.9616
050014,5,0.9906
050017,4,1.0659
050022,2,1.0893
050024,2,1.0971
050025,3,0.9575
050026,3,1.0312
050028,4,0.9965
050030,1,1.3606
050036,3,1.0584
050038,3,0.9965
050039,3,1.0979
050040,3,0.9827
050042,4,1.003
050043,3,0.9524
050045,2,0.9993
050047,3,1.012
050054,2,0.9724
050055,3,1.0113
050056,2,1.0121
050057,3,0.9972
050058,3,1.0655
050060,2,1.0863
050063,1,1.1092
050069,3,0.9582
050071,2,1.0683
050075,2,1.1045
050077,3,1.0185
050078,3,0.9736
050082,2,0.9789
050084,3,1.0188
050089,2,1.0333
050090,5,1.0042
050091,1,1.061
050093,2,1.1768
050099,2,1.0123
050100,4,0.9954
050101,4,0.9576
050102,2,1.0785
050103,2,1.0235
050104,2,1.1176
050107,3,1.046
050108,4,0.9905
050110,2,1.0385
050112,3,1.0017
050113,2,1.0273
050115,3,1.0988
050116,2,1.0933
050118,2,1.0008
050121,3,1.0661
050122,2,0.9797
050124,3,1.079
050125,2,1.2127
050126,2,1.1304
050127,4,0.9193
050128,2,1.0177
050129,3,1.0636
050131,4,0.9256
050132,2,1.0535
050133,2,1.0936
050135,1,1.0796
050136,3,0.9953
050138,3,0.9563
050140,4,1.0122
050145,4,0.9685
050149,2,1.0495
050150,4,1.0059
050152,2,1.0406
050158,1,1.0226
050159,2,1.0599
050167,2,1.0446
050168,3,0.9802
050169,4,1.0417
050174,2,0.939
050179,2,1.0307
050180,2,0.931
050191,2,0.9479
050194,3,1.0862
050195,2,1.049
050197,4,0.9915
050204,3,1.0507
050211,2,1.0048
050222,3,0.9388
050224,4,0.9367
050226,2,1.0066
050228,2,1.0335
050230,1,0.9876
050231,2,0.9224
050232,4,0.9971
050234,5,0.9815
050235,2,1.1528
050236,3,1.1126
050238,2,0.9342
050239,3,1.0849
050242,3,0.9554
050243,2,1.0073
050245,3,0.9817
050248,2,1.0109
050254,4,0.9314
050261,2,1.0403
050262,3,0.9204
050272,4,0.9475
050276,3,1.0291
050278,3,1.064
050279,2,1.0064
050280,3,0.9694
050281,3,1.0201
050283,3,0.9142
050289,3,1.0504
050290,2,0.9964
050291,4,0.98
050292,2,1.1286
050295,2,1.0223
050298,4,0.9685
050300,1,1.0442
050301,3,1.0017
050305,2,0.852
050308,3,0.9443
050309,4,0.9408
050313,2,0.8605
050315,2,1.0145
050320,2,0.9921
050324,4,0.9371
050327,3,1.0088
050329,2,0.9891
050334,4,1.0665
050335,3,0.969
050336,3,1.1077
050342,2,1.027
050348,3,0.9942
050351,3,1.0371
050352,4,1.0198
050353,3,0.9903
050357,4,0.9895
050360,2,0.9527
050367,3,1.0677
050373,2,1.0243
050376,2,1.0241
050380,3,1.063
050382,2,0.9751
050390,1,0.9725
050393,3,0.989
050394,3,0.9864
050396,4,0.9576
050407,2,1.0792
050414,3,1.0657
050417,4,0.9746
050424,5,0.9296
050425,2,0.9708
050426,2,1.0512
050438,2,1.1182
050441,4,1.0439
050444,2,1.0931
050454,4,0.9301
050455,2,1.0519
050457,3,0.9727
050464,2,1.0383
050468,1,1.1919
050471,2,1.1098
050481,2,1.1412
050485,3,0.9382
050488,2,0.9947
050492,3,1.0497
050496,4,0.882
050498,4,0.9812
050503,4,0.9132
050506,3,1.0782
050515,4,0.97
050516,3,0.9764
050517,1,1.0011
050523,2,1.0137
050526,1,1.114
050528,3,1.0067
050534,2,1.0472
050537,4,0.9422
050549,2,1.0136
050551,2,0.9412
050557,3,1.0672
050561,3,1.0097
050567,3,1.0043
050570,2,1.0783
050573,3,1.0592
050580,2,1.0607
050581,1,1.0069
050586,1,1.0207
050588,2,1.0286
050589,2,1.0517
050590,3,1.0005
050597,2,1.0149
050599,3,0.9978
050603,3,0.9266
050604,2,0.9913
050624,3,0.9989
050625,3,0.9086
050633,2,1.0497
050636,2,0.9138
050641,1,0.994
050663,1,0.9885
050674,3,1.0283
050678,3,0.9934
050689,3,0.9797
050696,4,1.0141
050701,3,1.1397
050704,1,1.0197
050709,2,1.0894
050723,3,1.0171
050735,2,1.006
050736,2,1.0205
050737,2,1.0031
050738,3,1.0163
050739,1,1.1019
050740,2,1.0072
050746,2,0.9784
050755,1,1.136
050758,2,1.0114
050761,3,1.0464
050764,2,1.0207
050770,2,1.1321
050775,3,0.9716
050777,2,1.0335
050779,2,0.9817
050780,1,0.9771
050784,3,1.0478
060001,4,0.9107
060003,2,0.9672
060004,3,0.9716
060006,4,0.9344
060009,3,0.8595
060010,4,0.8923
060011,3,1.0194
060012,4,0.9527
060013,4,0.9009
060014,3,1.0289
060015,2,0.961
060020,2,0.8685
060022,3,0.8389
060023,3,0.9264
060024,3,0.9389
060027,4,0.8588
060028,4,0.9764
060030,2,0.9676
060031,2,0.8418
060032,3,1.0122
060034,2,0.9748
060044,3,0.9666
060054,4,0.9644
060064,3,0.9582
060065,2,1.0753
060071,4,1.0056
060075,4,0.9735
060076,3,1.0231
060096,4,0.9922
060100,2,0.9031
060103,3,0.9841
060104,3,0.9545
060112,2,1.0618
060113,4,0.9827
060114,3,0.9779
060116,4,0.9883
060119,4,0.8732
060125,3,1.0002
060128,3,0.9117
060131,3,0.895
060132,4,0.9721
070002,2,0.8887
070003,3,1.1082
070004,5,1.011
070005,2,1.0109
070006,3,0.9295
070007,3,0.906
070008,4,1.0106
070010,3,0.9977
070011,3,1.0132
070016,2,1.0029
070017,4,0.9974
070018,4,1.0218
070020,4,0.9577
070021,4,0.9852
070022,3,0.9609
070024,3,0.9777
070025,2,1.1395
070027,2,1.0255
070028,3,0.9293
070029,3,1.0135
070031,4,0.9234
070033,4,0.9848
070034,3,1.1177
070035,2,0.9932
070036,4,1.0073
080001,3,0.9781
080003,2,0.9525
080004,2,0.9788
080006,4,0.9665
080007,3,0.9079
080009,3,0.9507
090001,2,0.9608
090003,2,1.1552
090004,2,0.9675
090005,2,0.9455
090011,2,0.9169
100001,3,0.9639
100002,1,1.0275
100006,3,1.1027
100007,3,1.1447
100008,3,1.0263
100012,3,0.9346
100014,3,0.9713
100017,2,1.095
100018,2,0.9876
100019,2,0.8916
100022,2,1.075
100023,2,1.0244
100025,2,1.0646
100026,3,0.9697
100028,2,1.1099
100029,1,1.0994
100030,3,1.0372
100032,2,0.9605
100034,2,1.0204
100035,2,0.9838
100038,2,1.044
100039,2,1.0653
100040,3,0.9618
100043,5,0.9738
100044,2,1.0875
100045,3,1.0088
100046,3,1.0161
100049,3,1.0216
100050,3,0.9906
100051,3,0.9852
100052,3,1.081
100053,2,1.1485
100054,5,1.0409
100055,4,1.132
100057,3,1.0327
100062,3,1.0885
100063,4,1.0551
100067,4,0.9883
100068,3,0.9108
100069,3,0.969
100071,2,1.1424
100072,4,0.9901
100073,2,0.9198
100075,4,1.1111
100077,2,1.1113
100080,1,1.0478
100084,3,0.9976
100086,2,1.2408
100087,3,0.9863
100088,3,0.9334
100090,3,0.9744
100092,3,0.9223
100093,3,0.9638
100099,3,0.9905
100105,2,0.9929
100107,2,0.9986
100109,2,1.0074
100110,2,1.105
100113,3,1.0163
100117,4,0.9454
100118,4,1.0044
100121,3,1.0405
100122,2,1.0053
100124,3,1.0275
100125,3,1.0322
100126,3,1.0121
100127,4,1.1047
100128,3,1.0354
100131,2,1.0931
100132,4,0.9017
100135,2,0.9124
100137,2,1.0457
100140,3,1.0372
100142,4,1.0115
100150,3,0.9491
100151,4,1.0207
100154,3,1.0497
100156,3,1.0636
100157,3,1.0865
100161,1,0.9881
100166,3,1.104
100167,2,1.0618
100168,2,0.9598
100173,3,1.0005
100175,4,0.9788
100176,1,1.0574
100177,3,0.8992
100179,2,0.9998
100180,3,1.0336
100183,2,1.0535
100187,2,0.9568
100189,1,1.0756
100191,2,1.057
100200,2,0.9703
100204,2,1.0001
100206,4,1.0771
100209,2,0.9415
100211,3,1.0381
100212,2,1.1209
100213,1,1.0301
100217,2,0.9343
100220,3,1.0086
100223,2,1.1386
100224,2,1.2013
100226,2,1.0509
100228,2,1.0109
100230,3,0.9761
100231,4,1.0191
100232,3,1.0397
100236,1,0.9932
100238,2,1.0985
100242,2,1.0056
100243,2,1.0528
100244,4,0.986
100246,2,1.117
100248,1,1.1446
100249,2,1.0128
100252,4,1.0916
100253,3,1.0479
100254,2,1.1051
100256,2,0.9904
100258,1,0.9974
100259,2,1.1166
100260,2,1.2781
100264,2,1.0253
100265,4,1.0121
100266,5,1.0393
100267,3,1.0894
100268,1,1.014
100269,2,1.0177
100275,1,1.0607
100276,2,1.0787
100281,3,1.0329
100285,4,1.0415
100286,2,1.053
100287,2,1.0338
100288,1,1.0062
100289,3,0.9339
100290,3,0.9763
100291,3,1.0397
100292,4,0.95
100296,2,1.0397
100299,3,0.9641
100302,3,1.069
100307,2,1.0483
100314,3,1.0867
100315,3,0.8657
100316,2,0.9032
100319,4,1.04
100320,2,1.0634
100321,3,1.1153
100329,4,1.0747
100350,3,1.0152
100359,4,1.0033
100360,2,1.0044
100361,4,1.0478
100363,4,1.0469
110001,4,0.9747
110002,5,1.0913
110003,4,1.0149
110005,3,0.9744
110006,3,1.0329
110007,2,1.055
110008,4,0.905
110010,3,1.0025
110011,4,1.1399
110015,4,1.1456
110016,5,1.0434
110018,2,0.9999
110023,4,0.9568
110024,3,0.9571
110025,2,1.0232
110027,3,1.0536
110028,2,1.0231
110029,2,0.9863
110030,3,1.0411
110031,2,0.9489
110032,4,0.9314
110034,2,1.0764
110035,2,0.9015
110036,2,0.9677
110038,3,0.9367
110041,3,0.9914
110042,4,1.0521
110043,3,1.0287
110044,3,1.0806
110045,4,0.9997
110046,3,1.0432
110050,5,0.9866
110051,4,1.0078
110054,3,1.0525
110064,3,1.0216
110069,2,0.9514
110074,3,1.019
110075,4,0.9809
110076,3,1.004
110078,2,1.0833
110079,2,1.1149
110082,3,1.0729
110083,3,1.0149
110087,2,1.1094
110089,3,1.0076
110091,2,1.0674
110095,3,1.0254
110104,2,0.9723
110105,4,1.0998
110107,2,0.877
110109,4,0.9893
110111,4,0.9975
110122,3,1.0693
110124,4,0.9754
110125,4,0.9969
110128,5,1.0484
110129,2,0.9691
110143,2,0.9935
110146,5,1.0094
110150,2,0.902
110161,3,0.9829
110164,2,1.0512
110165,1,1.0429
110168,4,0.9852
