facility_id,facility_name,state,nurse_comm_stars,doctor_comm_stars,staff_responsiveness_stars,cleanliness_stars,recommend_stars,overall_rating_stars
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,3,4,3,3,5,4
010087,USA HEALTH UNIVERSITY HOSPITAL,AL,3,3,3,2,4,3
010092,DCH REGIONAL MEDICAL CENTER,AL,3,3,2,2,3,3
010099,D W MCMILLAN MEMORIAL HOSPITAL,AL,2,2,2,2,2,2
01014F,BIRMINGHAM VA MEDICAL CENTER,AL,2,2,2,2,2,2
020006,MAT-SU REGIONAL MEDICAL CENTER,AK,4,4,4,4,4,4
030038,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,AZ,3,3,3,2,4,4
030085,NORTHWEST MEDICAL CENTER,AZ,2,1,1,1,1,1
030093,BANNER DEL E. WEBB MEDICAL CENTER,AZ,2,1,2,3,3,3
031315,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,AZ,5,4,5,5,5,4
040055,BAPTIST HEALTH - FORT SMITH,AR,3,2,3,3,4,3
040071,JEFFERSON REGIONAL MEDICAL CENTER,AR,2,3,3,2,2,3
040134,"ARKANSAS HEART HOSPITAL, LLC",AR,5,4,5,4,5,5
040161,ARKANSAS HEART HOSPITAL-ENCORE,AR,5,4,5,5,5,5
050002,ST ROSE HOSPITAL,CA,2,2,3,3,3,3
050013,ADVENTIST HEALTH ST HELENA,CA,4,4,4,4,5,4
050043,ALTA BATES SUMMIT MEDICAL CENTER,CA,3,4,2,4,5,4
050055,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,CA,3,4,2,4,4,4
050072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,CA,2,3,2,3,4,3
050077,SCRIPPS MERCY HOSPITAL,CA,3,3,3,3,3,3
050084,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,CA,3,3,3,3,3,3
050211,ALAMEDA HOSPITAL,CA,2,3,3,3,3,3
050295,MERCY HOSPITAL,CA,2,2,2,2,3,3
050380,GOOD SAMARITAN HOSPITAL,CA,3,2,2,3,3,3
050382,EMANATE HEALTH INTER-COMMUNITY HOSPITAL,CA,2,2,2,2,3,2
050393,PIH HEALTH DOWNEY HOSPITAL,CA,3,3,3,4,4,4
050438,HUNTINGTON HOSPITAL,CA,2,2,3,4,4,4
050517,VICTOR VALLEY GLOBAL MEDICAL CENTER,CA,1,1,1,2,1,1
050570,UCI HEALTH - FOUNTAIN VALLEY,CA,2,1,1,2,2,2
050589,UCI HEALTH - PLACENTIA LINDA,CA,2,1,2,3,2,2
050677,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,CA,3,3,3,3,4,3
050772,KAISER FOUNDATION HOSPITAL - ROSEVILLE,CA,3,3,3,2,4,3
050777,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,CA,2,3,2,3,4,3
05114F,VA SAN DIEGO HEALTHCARE SYSTEM,CA,4,4,4,3,4,4
060064,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,CO,3,4,3,4,4,4
060071,DELTA COUNTY MEMORIAL HOSPITAL,CO,4,3,5,3,3,3
060126,BANNER FORT COLLINS MEDICAL CENTER,CO,4,4,5,4,5,4
070011,CHARLOTTE HUNGERFORD HOSPITAL,CT,3,2,2,3,2,2
100006,ORLANDO HEALTH,FL,3,3,2,3,4,3
100039,BROWARD HEALTH MEDICAL CENTER,FL,2,1,1,2,2,2
100053,HIALEAH HOSPITAL,FL,2,2,2,4,2,2
100075,ST JOSEPHS HOSPITAL,FL,4,3,3,4,5,4
100090,FLAGLER HOSPITAL,FL,3,3,3,2,4,3
100105,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,FL,2,2,3,2,3,2
100243,HCA FLORIDA BRANDON HOSPITAL,FL,2,1,2,3,2,2
100264,HCA FLORIDA OAK HILL HOSPITAL,FL,2,1,3,3,2,2
100265,MEASE COUNTRYSIDE HOSPITAL,FL,4,2,3,3,5,4
100285,MEMORIAL HOSPITAL MIRAMAR,FL,4,4,3,4,4,4
100330,HALIFAX HEALTH /UF HEALTH MEDICAL CENTER OF DELTON,FL,2,2,2,2,3,3
10064F,MIAMI VA MEDICAL CENTER,FL,3,4,3,4,4,4
110008,NORTHSIDE HOSPITAL CHEROKEE,GA,4,3,4,5,5,5
110042,WELLSTAR PAULDING MEDICAL CENTER,GA,4,3,2,3,5,4
110076,EMORY DECATUR HOSPITAL,GA,3,4,2,3,3,3
110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,GA,2,3,1,2,4,3
110111,UNIVERSITY MCDUFFIE COUNTY REGIONAL MEDICAL CENTER,GA,4,4,3,4,4,4
11032F,Martin ACH (FT Benning),GA,5,4,4,5,5,5
111323,OPTIM MEDICAL CENTER - TATTNALL,GA,5,4,4,4,5,5
130049,KOOTENAI HEALTH,ID,3,3,2,2,4,3
130066,NORTHWEST SPECIALTY HOSPITAL,ID,4,4,5,3,5,5
140030,ADVOCATE SHERMAN HOSPITAL,IL,4,3,3,4,4,4
140064,ST MARY MEDICAL CENTER,IL,3,3,3,2,3,3
14008F,MARION IL VA MEDICAL CENTER,IL,5,4,5,4,5,4
140091,CARLE FOUNDATION HOSPITAL,IL,4,2,3,3,4,4
140185,MEMORIAL HOSPITAL,IL,4,4,4,3,4,4
141318,OSF HOLY FAMILY MEDICAL CENTER,IL,5,5,5,5,5,5
141336,ST JOSEPH'S HOSPITAL,IL,5,4,4,4,4,4
141355,CARLE RICHLAND MEMORIAL HOSPITAL,IL,3,4,3,3,3,3
150030,HENRY COUNTY MEMORIAL HOSPITAL,IN,4,4,4,4,4,4
150115,MEMORIAL HOSPITAL AND HEALTH CARE CENTER,IN,5,4,4,4,5,5
150157,ASCENSION ST VINCENT CARMEL,IN,2,3,2,3,3,3
150183,MONROE HOSPITAL,IN,4,4,5,5,5,5
151310,"PARKVIEW WABASH HOSPITAL, INC",IN,5,2,5,4,4,4
151331,HARRISON COUNTY HOSPITAL,IN,4,4,4,4,4,4
